Word,Predicted_Label
low,B
limb,I
lead,I
voltage,I
trac,B
##he,B
##oesophag,B
dia,B
##rr,B
##hea,B
increased,B
right,I
lower,I
lobe,I
density,I
hypertension,B
chest,B
(,I
portable,I
ap,I
),I
short,B
##ness,B
of,I
breath,I
;,I
ao,I
##rt,I
##ic,I
atrial,B
fib,I
##rilla,I
##tion,I
pulmonary,B
hypertension,I
bar,B
##ret,B
##t,B
',I
s,I
esophag,I
##us,I
chronic,B
back,I
pain,I
chest,B
(,I
portable,I
ap,I
),I
short,B
##ness,B
of,I
breath,I
;,I
ao,I
##rt,I
##ic,I
cardi,B
##ome,B
##gal,B
##y,B
orth,B
##op,B
##nea,B
left,B
atrial,I
appe,I
##nda,I
##ge,I
ut,B
##i,B
ao,B
##rt,B
##ic,B
ste,I
##nosis,I
atrial,I
fib,I
##rilla,I
##tion,I
sick,B
sinus,I
syndrome,I
pulmonary,B
hypertension,I
end,B
##oc,B
##ard,B
##itis,B
hypertension,B
chest,B
pain,I
headache,B
stern,B
##al,B
pain,I
hypertension,B
hyper,B
##lipid,B
##emia,B
ao,B
##rt,B
##ic,B
ste,I
##nosis,I
short,B
##ness,B
of,I
breath,I
;,I
ao,I
##rt,I
##ic,I
atrial,B
paced,I
rhythm,I
hyp,B
##ox,B
##ia,B
pulmonary,I
edema,I
leth,B
##arg,B
##ic,B
hypertension,B
hyper,B
##lipid,B
##emia,B
ao,B
##rt,B
##ic,B
ste,I
##nosis,I
hypertension,B
hyper,B
##lipid,B
##emia,B
ao,B
##rt,B
##ic,B
ste,I
##nosis,I
atrial,B
fib,I
##rilla,I
##tion,I
pulmonary,B
hypertension,I
bar,B
##ret,B
##t,B
',I
s,I
esophag,I
##us,I
chronic,B
back,I
pain,I
ut,B
##is,B
neur,B
##ogenic,B
bladder,I
auto,B
##nom,B
##ic,B
dy,I
##s,I
##reflex,I
##ia,I
es,B
##bl,B
ut,B
##i,B
neur,B
##ogenic,B
bladder,I
pseudo,B
##mona,B
##s,B
ut,I
##i,I
auto,B
##nom,B
##ic,B
dy,I
##s,I
##reflex,I
[SEP],I
ger,B
[SEP],B
hot,B
[SEP],B
sinus,B
tac,I
##hy,I
##cardi,I
##a,I
multiple,B
sc,I
##ler,I
##osis,I
al,B
##z,B
##heimer,B
',I
s,I
disease,I
hypertension,B
back,B
pain,I
fever,B
confusion,B
gram,B
positive,I
co,I
##cci,I
in,I
clusters,I
gram,B
positive,I
co,I
##cci,I
in,I
clusters,I
fever,B
##eli,B
##tis,B
trans,B
##mian,B
##itis,B
back,B
pain,I
confusion,B
fever,B
tac,B
##hy,B
##cardi,B
##a,B
fever,B
dia,B
##rr,B
##hea,B
ch,B
##f,B
tac,B
##hy,B
##cardi,B
##c,B
ple,B
##ural,B
eff,I
##usion,I
ane,B
##mia,B
dm,B
ch,B
##f,B
ple,B
##ural,B
eff,I
##usion,I
coronary,B
artery,I
disease,I
my,B
##oc,B
##ard,B
##ial,B
infarction,I
ao,B
##rt,B
##ic,B
ane,I
##ury,I
##sm,I
cons,B
##tip,B
##ation,B
calc,B
##ified,B
tor,I
##tu,I
##ous,I
cons,B
##tip,B
##ation,B
chest,B
(,I
portable,I
ap,I
),I
coronary,B
artery,I
disease,I
\,I
stent,I
ap,B
##ical,B
p,I
##neu,I
##mot,I
##hora,I
##x,I
abdominal,B
ao,I
##rt,I
##ic,I
ane,I
##ury,I
##sm,I
diabetes,B
me,I
##lli,I
##tus,I
my,B
##oc,B
##ard,B
##ial,B
infarction,I
diver,B
##tic,B
##uli,B
##tis,B
coronary,B
artery,I
disease,I
ple,B
##ural,B
eff,I
##usion,I
ch,B
[SEP],B
sinus,B
tac,I
##hy,I
##cardi,I
##a,I
sinus,B
rhythm,I
portable,B
tte,I
full,B
ventricular,B
sy,I
##sto,I
##lic,I
dy,I
##s,I
##function,I
ca,B
##d,B
r,B
para,I
##clin,I
##oid,I
ane,I
##ury,I
##sm,I
cardi,B
##ome,B
##gal,B
##y,B
ap,B
chest,I
patent,B
main,I
",",I
left,I
and,I
right,I
portal,I
veins,I
pan,B
##creat,B
##itis,B
main,I
and,I
right,I
portal,I
veins,I
hepatic,B
bi,I
##lia,I
##ry,I
strict,I
##ure,I
hepatic,B
bi,I
##lia,I
##ry,I
strict,I
##ure,I
hepatic,B
bi,I
##lia,I
##ry,I
strict,I
##ure,I
chronic,B
back,I
pain,I
abd,B
pain,I
depression,B
anxiety,B
to,B
##b,B
fever,B
confusion,B
right,B
hepatic,I
duct,I
strict,I
##ure,I
bi,B
##le,B
duct,I
strict,I
##ure,I
bi,B
##basilar,B
ate,I
##lect,I
##asis,I
compression,I
fracture,I
bilateral,B
rib,I
fracture,I
##s,I
[SEP],B
compression,I
fracture,I
pneumonia,B
fracture,I
##s,I
chest,B
(,I
portable,I
ap,I
),I
chest,B
port,I
new,B
dx,I
leukemia,I
[SEP],I
easy,B
br,I
##ui,I
##sing,I
mal,B
##ais,B
##e,B
ast,B
##hm,B
##a,B
ad,B
##h,B
##d,B
chest,B
pain,I
pet,B
##ech,B
##ial,B
ras,I
##h,I
acute,B
lymph,B
##ob,I
##lastic,I
leukemia,I
nausea,B
ad,B
##h,B
##d,B
leukemia,B
per,B
##ica,B
##rdi,B
##al,B
eff,I
##usion,I
ple,B
##ural,B
eff,I
##usions,I
tracing,B
atrial,B
fib,I
##rilla,I
##tion,I
tracing,B
chest,B
(,I
portable,I
ap,I
),I
all,B
ct,B
abdominal,B
pain,I
new,B
left,I
pic,I
[SEP],I
ple,B
##ural,B
pulmonary,B
edema,I
abdominal,B
pain,I
ple,B
##ural,B
eff,I
[SEP],I
abdominal,B
pain,I
nausea,B
/,I
vomit,I
##ing,I
sinus,B
tac,I
##hy,I
##cardi,I
##a,I
tac,B
##hy,B
##cardi,B
##c,B
sinus,B
diet,B
controlled,I
diabetes,I
pan,B
##creat,B
##ic,B
aden,I
##oc,I
##arc,I
##ino,I
##ma,I
thromb,B
##osis,B
delayed,B
gastric,I
empty,I
##ing,I
asp,B
##ira,B
##tion,B
p,I
[SEP],I
vomit,B
##ing,B
changes,I
pan,B
##creat,B
##ic,B
car,I
##cin,I
##oma,I
left,B
upper,I
extr,I
##emit,I
##y,I
swelling,I
heart,B
murmur,I
cardi,B
##ome,B
##gal,B
##y,B
ate,B
##lect,B
##asis,B
mit,B
##ral,B
valve,I
disease,I
mr,B
heter,B
##ogen,B
##eous,B
plaque,I
seen,I
in,I
the,I
ica,I
chest,B
(,I
portable,I
ap,I
),I
hyp,B
##ote,B
##ns,B
##ion,B
hyper,B
##carb,B
##ic,B
respiratory,I
failure,I
cardiac,B
silhouette,I
leth,B
##arg,B
[SEP],B
hyper,B
##cholesterol,B
##emia,B
cell,B
##uli,B
[SEP],B
ischem,B
##ic,B
cardi,I
##omy,I
##op,I
##athy,I
hyp,B
##ote,B
##ns,B
##ion,B
hyp,B
##ote,B
##ns,B
##ion,B
hyp,B
##ona,B
##trem,B
##ia,B
hyp,B
##ote,B
##ns,B
##ion,B
hyp,B
##ona,B
##trem,B
##ia,B
chest,B
(,I
portable,I
ap,I
),I
meta,B
##static,B
d,I
##z,I
in,I
his,I
lungs,I
ple,B
##ural,B
eff,I
##usions,I
hyp,B
##ox,B
##ia,B
hyp,B
##ot,B
##n,B
hyp,B
##ot,B
##n,B
tac,B
##hy,B
##cardi,B
tac,B
##hypn,B
##ei,B
pul,B
##m,B
ple,B
##ural,B
eff,I
[SEP],I
soft,I
tissue,I
sa,I
##rc,I
##oma,I
abuse,I
pre,B
-,B
b,B
cell,I
all,I
with,I
epit,B
##hel,B
##oid,B
rh,I
##ab,I
##dom,I
##yo,I
##sarcoma,I
ple,B
##ural,B
eff,I
##usions,I
hyp,B
##ox,B
##ia,B
hyp,B
##ote,B
##ns,B
##ion,B
pulmonary,B
meta,I
##static,I
disease,I
pulmonary,B
nod,I
##ules,I
epit,B
##hel,B
##oid,B
rh,I
##ab,I
##dom,I
##yo,I
##sarcoma,I
hyp,B
##ox,B
##ia,B
meta,B
##static,B
rh,I
##ab,I
##dom,I
##yo,I
##sarcoma,I
pulmonary,B
meta,I
##static,I
disease,I
sup,B
##rave,B
##nt,B
##ric,B
##ular,B
meta,B
##static,B
rh,I
##ab,I
##omy,I
##osa,I
##rc,I
##oma,I
ple,B
##ural,B
eff,I
##uss,I
##ions,I
pulmonary,B
edema,I
ple,B
##ural,B
eff,I
##usion,I
bul,B
##emia,B
bul,B
##emia,B
bing,B
##ing,B
em,B
##esis,B
st,B
segment,I
depression,I
es,B
##rd,B
on,I
h,I
##d,I
h,B
##t,B
##n,B
h,B
##l,B
##p,B
ut,B
##i,B
hyp,B
##og,B
##ly,B
##mia,B
hyp,B
##ote,B
##ns,B
##ion,B
ca,B
##d,B
ple,B
##ural,B
eff,I
##usions,I
ana,B
##sarc,B
##a,B
hyp,B
##ote,B
##ns,B
##ion,B
hyp,B
##og,B
##ly,B
##ce,B
##mia,B
asc,B
##ites,B
left,B
lower,I
lobe,I
ate,I
##lect,I
##asis,I
pic,B
##c,B
line,I
pl,I
##ac,I
##ment,I
sc,I
##h,I
pic,B
##c,B
line,I
pl,I
##ac,I
##ment,I
sc,I
##h,I
sc,B
##ler,B
##al,B
ict,I
##erus,I
tac,B
##hy,B
##cardi,B
##a,B
gall,B
##bladder,B
s,I
##lu,I
##dge,I
mild,B
la,I
en,I
##large,I
##ment,I
moderate,B
pa,I
sy,I
##sto,I
##lic,I
hypertension,I
pan,B
##creat,B
##itis,B
hep,B
##ati,B
##tis,B
elevated,B
l,I
##fts,I
ja,B
##undi,B
##ce,B
alcohol,B
abuse,I
cough,B
fever,B
##s,B
cough,B
fever,B
gall,B
##bladder,B
wall,I
edema,I
pan,B
##creat,B
##itis,B
fever,B
pan,B
##creat,B
##itis,B
fever,B
pain,I
mr,B
pneumonia,B
mr,B
ao,B
##rt,B
##ic,B
valve,I
is,I
mildly,I
calc,I
##ified,I
with,I
mild,I
ao,I
##rt,I
##ic,I
ins,I
##uff,I
##iciency,I
mit,B
##ral,B
valve,I
is,I
mildly,I
thick,I
##ened,I
mit,B
##ral,B
reg,I
##urg,I
##itation,I
tric,B
##us,B
##pid,B
reg,I
##urg,I
##itation,I
d,B
##v,B
##t,B
ca,B
##d,B
ch,B
##f,B
dia,B
##rr,B
##hea,B
ch,B
ns,B
##tem,B
##i,B
dy,B
##spha,B
##gia,B
dy,B
##spha,B
##gia,B
chronic,B
kidney,I
disease,I
d,B
##v,B
##t,B
h,B
##t,B
##n,B
dc,B
##h,B
##f,B
ck,B
##d,B
gu,B
dia,B
##rr,B
##hea,B
fever,B
acute,B
blood,I
loss,I
ane,I
##mia,I
gu,B
##aia,B
##c,B
positive,I
gu,B
##aia,B
##c,B
positive,I
reg,I
##urg,I
atrial,I
abnormal,I
##ity,I
d,B
##v,B
##t,B
mr,B
##sa,B
in,I
nar,I
##es,I
atrial,B
fib,I
##rilla,I
##tion,I
go,B
##ut,B
cell,B
##uli,B
##tus,B
poly,B
##my,B
##alg,B
##ia,B
rheumatic,I
diver,B
##tic,B
##uli,B
##tis,B
mr,B
mit,B
##ral,B
reg,I
##urg,I
mr,B
dy,B
##spha,B
##gia,B
dy,B
##spha,B
##gia,B
gu,B
##aia,B
##c,B
positive,I
gu,B
##aia,B
##c,B
positive,I
hypertension,B
hypertension,B
chronic,B
kidney,I
disease,I
mildly,B
elevated,I
ra,I
pressure,I
chest,B
discomfort,I
gi,B
bleeding,I
pneumonia,B
mr,B
chronic,B
kidney,I
disease,I
dia,B
##rr,B
##hea,B
dia,B
##rr,B
##hea,B
fever,B
chill,B
##s,B
acute,B
on,I
chronic,I
dias,I
##tol,I
##ic,I
heart,I
failure,I
pneumonia,B
coronary,B
artery,I
[SEP],I
tr,B
.,B
mild,B
pa,I
sy,I
##sto,I
##lic,I
hypertension,I
ventricular,B
hyper,I
##troph,I
##y,I
chest,B
port,I
opa,I
##city,I
multiple,B
bilateral,I
rib,I
fracture,I
##s,I
int,B
##rave,B
##nt,B
##ric,B
##ular,B
conduct,I
##ion,I
defect,I
rc,B
diabetes,B
dy,B
##sl,B
##ip,B
##ide,B
##mia,B
hypertension,B
p,B
##v,B
##d,B
h,B
##t,B
##n,B
h,B
##ld,B
bilateral,B
hearing,I
loss,I
deficit,I
my,B
##oc,B
##ard,B
##ial,B
infarction,I
dm,B
nausea,B
my,B
##oc,B
##ard,B
##ial,B
infarction,I
##s,I
tracing,B
foot,B
ap,I
",",I
la,I
##t,I
&,I
obl,I
right,I
oste,B
##omy,B
##eli,B
##tis,B
foot,B
ulcer,I
ct,B
head,I
w,I
/,I
o,I
contrast,I
##atom,I
##a,I
front,B
##op,B
##ari,B
##etal,B
skull,I
fracture,I
##atom,I
##a,I
meta,I
##carpal,I
transfer,B
to,I
step,I
##down,I
lines,I
wrist,B
(,I
3,I
+,I
views,I
),I
bi,I
##lat,I
multiple,B
epid,B
##ural,B
hem,I
##atom,I
##a,I
epid,B
##ural,B
hem,I
##atom,I
[SEP],I
##atom,I
##a,I
